frame.number,frame.time_epoch,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,icmp.type,icmp.code,icmp.seq,frame.len
"30","1759868276.968582236","Oct  7, 2025 14:17:56.968582236 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","15","98"
"31","1759868277.992445047","Oct  7, 2025 14:17:57.992445047 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","16","98"
"32","1759868277.992477450","Oct  7, 2025 14:17:57.992477450 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","16","98"
"33","1759868279.016565008","Oct  7, 2025 14:17:59.016565008 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","17","98"
"34","1759868279.016598418","Oct  7, 2025 14:17:59.016598418 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","17","98"
"35","1759868280.041521852","Oct  7, 2025 14:18:00.041521852 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","18","98"
"36","1759868280.041554707","Oct  7, 2025 14:18:00.041554707 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","18","98"
"37","1759868281.064676590","Oct  7, 2025 14:18:01.064676590 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","19","98"
"38","1759868281.064718186","Oct  7, 2025 14:18:01.064718186 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","19","98"
"39","1759868282.088633799","Oct  7, 2025 14:18:02.088633799 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","20","98"
"40","1759868282.088665503","Oct  7, 2025 14:18:02.088665503 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","20","98"
"41","1759868283.112440727","Oct  7, 2025 14:18:03.112440727 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","21","98"
"42","1759868283.112472310","Oct  7, 2025 14:18:03.112472310 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","21","98"
"43","1759868284.136425636","Oct  7, 2025 14:18:04.136425636 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","22","98"
"44","1759868284.136464312","Oct  7, 2025 14:18:04.136464312 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","22","98"
"45","1759868285.160430868","Oct  7, 2025 14:18:05.160430868 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","23","98"
"46","1759868285.160460510","Oct  7, 2025 14:18:05.160460510 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","23","98"
"47","1759868286.184551481","Oct  7, 2025 14:18:06.184551481 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","24","98"
"48","1759868286.184586046","Oct  7, 2025 14:18:06.184586046 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","24","98"
"49","1759868287.208607234","Oct  7, 2025 14:18:07.208607234 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","25","98"
"50","1759868287.208652312","Oct  7, 2025 14:18:07.208652312 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","25","98"
"51","1759868288.232450999","Oct  7, 2025 14:18:08.232450999 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","26","98"
"52","1759868288.232490769","Oct  7, 2025 14:18:08.232490769 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","26","98"
"53","1759868289.256603518","Oct  7, 2025 14:18:09.256603518 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","27","98"
"54","1759868289.256636269","Oct  7, 2025 14:18:09.256636269 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","27","98"
"55","1759868290.280633933","Oct  7, 2025 14:18:10.280633933 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","28","98"
"56","1759868290.280667735","Oct  7, 2025 14:18:10.280667735 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","28","98"
"57","1759868291.304555666","Oct  7, 2025 14:18:11.304555666 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","29","98"
"58","1759868291.304589566","Oct  7, 2025 14:18:11.304589566 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","29","98"
"59","1759868292.328654837","Oct  7, 2025 14:18:12.328654837 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","30","98"
"60","1759868292.328687649","Oct  7, 2025 14:18:12.328687649 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","30","98"
"61","1759868293.352462272","Oct  7, 2025 14:18:13.352462272 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","31","98"
"62","1759868293.352493269","Oct  7, 2025 14:18:13.352493269 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","31","98"
"63","1759868294.376547454","Oct  7, 2025 14:18:14.376547454 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","32","98"
"64","1759868294.376589500","Oct  7, 2025 14:18:14.376589500 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","32","98"
"65","1759868295.400533822","Oct  7, 2025 14:18:15.400533822 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","33","98"
"66","1759868295.400567639","Oct  7, 2025 14:18:15.400567639 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","33","98"
"67","1759868296.424589557","Oct  7, 2025 14:18:16.424589557 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","34","98"
"68","1759868296.424620903","Oct  7, 2025 14:18:16.424620903 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","34","98"
"69","1759868297.448537574","Oct  7, 2025 14:18:17.448537574 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","35","98"
"70","1759868297.448572254","Oct  7, 2025 14:18:17.448572254 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","35","98"
"71","1759868298.472511080","Oct  7, 2025 14:18:18.472511080 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","36","98"
"72","1759868298.472544891","Oct  7, 2025 14:18:18.472544891 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","36","98"
"73","1759868299.496613518","Oct  7, 2025 14:18:19.496613518 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","37","98"
"74","1759868299.496657485","Oct  7, 2025 14:18:19.496657485 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","37","98"
"75","1759868300.520578674","Oct  7, 2025 14:18:20.520578674 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","38","98"
"76","1759868300.520621950","Oct  7, 2025 14:18:20.520621950 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","38","98"
